operacao,dado,tempo_ns,colisoes
INSERCAO,475139620,607,69
INSERCAO,787854947,508,64
INSERCAO,895623639,434,48
INSERCAO,162626854,402,53
INSERCAO,459452999,449,49
INSERCAO,743309796,425,49
INSERCAO,898466537,455,65
INSERCAO,501495825,596,68
INSERCAO,635431138,506,64
INSERCAO,978486984,442,54
INSERCAO,606637980,602,70
INSERCAO,808458328,424,65
INSERCAO,373013171,625,49
INSERCAO,697382625,477,69
INSERCAO,689166752,453,48
INSERCAO,614942265,423,70
INSERCAO,948730914,419,55
INSERCAO,920447248,519,66
INSERCAO,713633534,424,56
INSERCAO,726246747,484,66
INSERCAO,055854264,456,57
INSERCAO,570170278,492,67
INSERCAO,978340143,481,39
INSERCAO,693264797,577,67
INSERCAO,336301311,432,50
INSERCAO,894067100,640,71
INSERCAO,830759624,453,58
INSERCAO,365201541,340,51
INSERCAO,207275369,564,50
INSERCAO,669260368,484,68
INSERCAO,911879018,426,69
INSERCAO,381869567,489,68
INSERCAO,979217796,513,50
INSERCAO,780550194,490,59
INSERCAO,878070153,421,40
INSERCAO,617775222,400,49
INSERCAO,759693773,360,41
INSERCAO,303036021,441,52
INSERCAO,725962507,502,69
INSERCAO,080239258,536,70
INSERCAO,264982441,372,53
INSERCAO,316313111,388,54
INSERCAO,478401720,727,72
INSERCAO,578259828,438,71
INSERCAO,617894085,639,71
INSERCAO,342228093,408,42
INSERCAO,958791600,629,73
INSERCAO,483851948,487,72
INSERCAO,037660940,497,74
INSERCAO,043225628,620,73
INSERCAO,003055813,455,43
INSERCAO,789501606,576,51
INSERCAO,268499685,644,72
INSERCAO,007352686,491,52
INSERCAO,685765311,567,55
INSERCAO,708784105,499,73
INSERCAO,930941120,665,75
INSERCAO,450856041,383,56
INSERCAO,214128933,473,44
INSERCAO,390430384,610,60
INSERCAO,348244122,516,50
INSERCAO,785222556,489,53
INSERCAO,205091526,346,54
INSERCAO,466709032,436,51
INSERCAO,456303543,499,45
INSERCAO,291202559,521,51
INSERCAO,049775203,378,46
INSERCAO,486092451,433,57
INSERCAO,970930388,625,74
INSERCAO,972302909,548,52
INSERCAO,697813729,381,53
INSERCAO,872877445,577,74
INSERCAO,873384518,517,75
INSERCAO,918061539,433,54
INSERCAO,507384756,452,55
INSERCAO,280416682,398,52
INSERCAO,222094163,459,47
INSERCAO,606389903,343,48
INSERCAO,493487780,653,76
INSERCAO,774353470,546,77
INSERCAO,899794104,561,61
INSERCAO,513285762,456,53
INSERCAO,206346952,541,54
INSERCAO,910995836,463,56
INSERCAO,326860118,670,76
INSERCAO,764281888,489,77
INSERCAO,081656649,498,55
INSERCAO,143688615,742,75
INSERCAO,831017043,511,49
INSERCAO,007884903,417,50
INSERCAO,641090388,575,78
INSERCAO,853915927,794,70
INSERCAO,659437325,558,76
INSERCAO,105219883,372,51
INSERCAO,411442403,350,52
INSERCAO,923203855,506,77
INSERCAO,215459382,414,55
INSERCAO,352672855,534,78
INSERCAO,179279916,465,57
INSERCAO,261806444,653,62
INSERCAO,962964431,571,58
INSERCAO,492974840,825,78
INSERCAO,403382788,566,79
INSERCAO,133927048,418,80
INSERCAO,344805002,481,56
INSERCAO,041611836,404,58
INSERCAO,466183162,430,57
INSERCAO,240978245,664,79
INSERCAO,667119222,400,58
INSERCAO,805136878,594,81
INSERCAO,843031875,524,80
INSERCAO,360628283,476,53
INSERCAO,073729338,529,82
INSERCAO,594510118,435,83
INSERCAO,759979655,568,81
INSERCAO,822165681,475,59
INSERCAO,514408430,635,79
INSERCAO,565672479,685,56
INSERCAO,666747461,409,60
INSERCAO,623591573,417,54
INSERCAO,320135461,505,61
INSERCAO,606133219,426,57
INSERCAO,025066936,516,59
INSERCAO,987767099,439,58
INSERCAO,154169174,586,63
INSERCAO,199980849,438,59
INSERCAO,227792040,714,80
INSERCAO,834887807,725,71
INSERCAO,490031978,597,84
INSERCAO,087827646,502,60
INSERCAO,752357390,605,81
INSERCAO,347346606,455,61
INSERCAO,912382233,457,55
INSERCAO,682746484,537,64
INSERCAO,644828648,579,85
INSERCAO,700732160,641,82
INSERCAO,457438080,507,83
INSERCAO,707329903,465,56
INSERCAO,871759432,495,59
INSERCAO,833854897,567,72
INSERCAO,636306182,429,60
INSERCAO,489573178,519,86
INSERCAO,593721545,842,82
INSERCAO,185132116,489,62
INSERCAO,839375326,367,63
INSERCAO,087658530,701,84
INSERCAO,372230965,571,83
INSERCAO,234849320,570,85
INSERCAO,151242144,512,65
INSERCAO,356085681,721,62
INSERCAO,922566524,422,66
INSERCAO,194684959,528,60
INSERCAO,682743180,716,86
INSERCAO,342255813,599,57
INSERCAO,380796298,669,87
INSERCAO,809356015,662,84
INSERCAO,877014859,493,61
INSERCAO,273453453,434,58
INSERCAO,575483236,537,64
INSERCAO,308210078,589,88
INSERCAO,787748765,565,85
INSERCAO,042570534,609,67
INSERCAO,085382200,693,87
INSERCAO,828218527,595,73
INSERCAO,880255350,620,88
INSERCAO,907509754,783,68
INSERCAO,892725423,515,59
INSERCAO,676092136,513,65
INSERCAO,141963406,379,66
INSERCAO,248019254,490,69
INSERCAO,717561018,614,89
INSERCAO,906104383,423,60
INSERCAO,139129047,549,74
